,cut,color,clarity,carat_weight,cut_quality,lab,symmetry,polish,eye_clean,culet_size,culet_condition,depth_percent,table_percent,meas_length,meas_width,meas_depth,girdle_min,girdle_max,fluor_color,fluor_intensity,fancy_color_dominant_color,fancy_color_secondary_color,fancy_color_overtone,fancy_color_intensity,total_sales_price
0,Round,E,VVS2,0.09,Excellent,IGI,Very Good,Very Good,unknown,N,unknown,62.7,59,2.85,2.87,1.79,M,M,unknown,None,unknown,unknown,unknown,unknown,200
1,Round,E,VVS2,0.09,Very Good,IGI,Very Good,Very Good,unknown,N,unknown,61.9,59,2.84,2.89,1.78,STK,STK,unknown,None,unknown,unknown,unknown,unknown,200
2,Round,E,VVS2,0.09,Excellent,IGI,Very Good,Very Good,unknown,unknown,unknown,61.1,59,2.88,2.9,1.77,TN,M,unknown,None,unknown,unknown,unknown,unknown,200
3,Round,E,VVS2,0.09,Excellent,IGI,Very Good,Very Good,unknown,unknown,unknown,62,59,2.86,2.88,1.78,M,STK,unknown,None,unknown,unknown,unknown,unknown,200
4,Round,E,VVS2,0.09,Very Good,IGI,Very Good,Excellent,unknown,N,unknown,64.9,58.5,2.79,2.83,1.82,STK,STK,unknown,None,unknown,unknown,unknown,unknown,200
5,Round,E,VVS2,0.09,Very Good,IGI,Very Good,Very Good,unknown,N,unknown,60.8,57,2.95,2.99,1.81,TN,M,unknown,None,unknown,unknown,unknown,unknown,200
6,Round,E,VVS2,0.09,Very Good,IGI,Very Good,Very Good,unknown,unknown,Abraded,64,57,2.85,2.88,1.84,STK,STK,unknown,None,unknown,unknown,unknown,unknown,200
7,Round,E,VVS2,0.09,Excellent,IGI,Very Good,Very Good,unknown,N,unknown,62.1,59.5,2.86,2.89,1.78,M,M,unknown,None,unknown,unknown,unknown,unknown,200
8,Round,E,VVS2,0.09,Very Good,IGI,Very Good,Very Good,unknown,N,unknown,63.5,59.5,2.89,2.92,1.85,STK,TK,unknown,None,unknown,unknown,unknown,unknown,200
9,Round,E,VVS2,0.09,Excellent,IGI,Very Good,Very Good,unknown,N,unknown,63.2,57,2.83,2.87,1.8,M,M,unknown,None,unknown,unknown,unknown,unknown,200
10,Round,E,VVS2,0.09,Very Good,IGI,Very Good,Very Good,unknown,unknown,Abraded,62.2,58.5,2.82,2.85,1.77,STK,TK,unknown,None,unknown,unknown,unknown,unknown,200
11,Round,E,VVS2,0.09,Excellent,IGI,Very Good,Very Good,unknown,N,unknown,62.1,59.5,2.83,2.86,1.77,TN,M,unknown,None,unknown,unknown,unknown,unknown,200
12,Round,E,VVS2,0.09,Very Good,IGI,Very Good,Very Good,unknown,N,unknown,61.8,58.5,2.85,2.89,1.77,STK,TK,unknown,None,unknown,unknown,unknown,unknown,200
13,Round,F,VVS1,0.09,Excellent,IGI,Very Good,Very Good,unknown,N,unknown,62,57.5,2.83,2.87,1.77,M,M,unknown,None,unknown,unknown,unknown,unknown,200
14,Round,E,VVS2,0.09,Very Good,IGI,Excellent,Very Good,unknown,N,unknown,63.6,58,2.81,2.84,1.79,STK,STK,unknown,None,unknown,unknown,unknown,unknown,200
15,Round,E,VVS2,0.09,Very Good,IGI,Very Good,Very Good,unknown,N,unknown,61.8,58,2.88,2.9,1.78,STK,STK,unknown,None,unknown,unknown,unknown,unknown,200
16,Round,E,VVS2,0.09,Very Good,IGI,Very Good,Very Good,unknown,N,unknown,62.3,55.5,2.88,2.91,1.8,STK,STK,unknown,None,unknown,unknown,unknown,unknown,200
17,Round,E,VVS2,0.09,Very Good,IGI,Very Good,Very Good,unknown,N,unknown,61.2,60,2.92,2.94,1.79,M,M,unknown,None,unknown,unknown,unknown,unknown,200
